"""BOG"", ""Bogota"", ""El Dorado"""
"""MEX"", ""CDMX"", ""Ciudad Mexico"", ""Mexico DF"", ""DF"", ""Ciudad de Mexico"""
"""MDE"", ""Medellin"", ""Jose Maria Cordova"", ""medellin"""
"""CLO"", ""Cali"", ""Alfonso Bonilla"", ""Aeropuerto Alfonso Bonilla"""
"""GDL"", ""Guadalajara"", ""Miguel Hidalgo y Costilla"", ""Miguel Hidalgo"""
"""MTY"", ""Monterrey"", ""Mariano Escobedo"""
"""SJO"", ""Costa Rica"", ""San Jose Costa Rica"", ""Juan Santamaria"""
"""SMR"", ""Santa Marta"", ""Magdalena"""
"""SJC"", ""San Jose California"", ""San Jose CA"""
"""SFO"", ""San Francisco"", ""Frisco"", ""San Fra"", ""San Francisco California"""
"""AES"",""AES"",""Aalesund,"",""Norway """
"""ZID"",""ZID"",""Aarhus,"",""Denmark - Bus service """
"""AAR"",""AAR"",""Aarhus,"",""Denmark - Tirstrup """
"""JEG"",""JEG"",""Aasiaat,"",""Greenland """
"""ABD"",""ABD"",""Abadan,"",""Iran """
"""ABA"",""ABA"",""Abakan,"",""Russia """
"""YXX"",""YXX"",""Abbotsford,"",""BC """
"""ABR"",""ABR"",""Aberdeen,"",""SD """
"""ABZ"",""ABZ"",""Aberdeen,"",""United Kingdom """
"""AHB"",""AHB"",""Abha,"",""Saudi Arabia """
"""ABJ"",""ABJ"",""Abidjan,"",""Cote d'Ivoire """
"""ABI"",""ABI"",""Abilene,"",""TX """
"""AUH"",""AUH"",""Abu"",""Dhabi, United Arab Emirates """
"""ABS"",""ABS"",""Abu"",""Simbel, Egypt """
"""ABV"",""ABV"",""Abuja,"",""Nigeria """
"""ACA"",""ACA"",""Acapulco,"""
"""ADK"",""ADK"",""Adak"",""Island, AK """
"""ADA"",""ADA"",""Adana,"",""Turkey """
"""ADD"",""ADD"",""Addis"",""Ababa, Ethopia """
"""ADL"",""ADL"",""Adelaide,"",""Australia """
"""ADE"",""ADE"",""Aden,"",""Yemen """
"""AER"",""AER"",""Adler/Sochi,"",""Russia """
"""AZR"",""AZR"",""Adrar,"",""Algeria """
"""AFT"",""AFT"",""Afutara,"",""Soloman Islands """
"""AGA"",""AGA"",""Agadir,"",""Morocco """
"""IXA"",""IXA"",""Agartala,"",""India """
"""AUP"",""AUP"",""Agaun,"",""Papua New Guinea """
"""AGF"",""AGF"",""Agen,"",""France """
"""AGR"",""AGR"",""Agra,"",""India """
"""AJI"",""AJI"",""Agri,"",""Turkey """
"""BQN"",""BQN"",""Aguadilla,"",""Puerto Rico """
"""AGU"",""AGU"",""Aguascalientes,"""
"""AGJ"",""AGJ"",""Aguni,"",""Japan """
"""AMD"",""AMD"",""Ahmedabad,"",""India """
"""AWZ"",""AWZ"",""Ahwaz,"",""Iran """
"""AIM"",""AIM"",""Ailuk"",""Island, Marshall Islands """
"""AEO"",""AEO"",""Aioun"",""El Atrouss, Mauritania """
"""AIC"",""AIC"",""Airok,"",""Marshall Islands """
"""AIT"",""AIT"",""Aitutaki,"",""Cook Islands """
"""AJL"",""AJL"",""Aizawl,"",""India """
"""AJA"",""AJA"",""Ajaccio,"",""France """
"""KKI"",""KKI"",""Akiachak,"",""AK """
"""AKI"",""AKI"",""Akiak,"",""AK """
"""AXT"",""AXT"",""Akita,"",""Japan """
"""CAK"",""CAK"",""Akron/Canton,"",""OH """
"""AKU"",""AKU"",""Aksu,"",""China """
"""AKX"",""AKX"",""Aktyubinsk,"",""Kazakhstan """
"""AKV"",""AKV"",""Akulivik,"",""QC """
"""AEY"",""AEY"",""Akureyri,"",""Iceland """
"""KQA"",""KQA"",""Akuton,"",""AK """
"""AAN"",""AAN"",""Al"",""Ain, United Arab Emirates """
"""AAC"",""AAC"",""Al"",""Arish, Egypt """
"""AHU"",""AHU"",""Al"",""Hoceima, Morocco """
"""AUK"",""AUK"",""Alakanuk,"",""AK """
"""ALM"",""ALM"",""Alamogordo,"",""NM """
"""ALS"",""ALS"",""Alamosa,"",""CO """
"""ABT"",""ABT"",""Al-Baha,"",""Saudi Arabia """
"""ALB"",""ALB"",""Albany,"",""NY """
"""CVO"",""CVO"",""Albany,"",""OR - Bus service """
"""QWY"",""QWY"",""Albany,"",""OR - Bus service """
"""ABQ"",""ABQ"",""Albuquerque,"",""NM """
"""ABX"",""ABX"",""Albury,"",""Australia """
"""ACI"",""ACI"",""Alderney,"",""United Kingdom """
"""XLY"",""XLY"",""Aldershot,"",""ON - Rail service """
"""WKK"",""WKK"",""Aleknagik,"",""AK """
